lon,lat,elev,agebp,tanom_djf,tanom_djf_er
-9.516667,52.016667,30,2582.5,-2.6375,2.24686
-9.516667,52.016667,30,2743.9,-3.775,1.84449
-9.516667,52.016667,30,2905.31,-2.6375,1.83532
-9.516667,52.016667,30,3066.71,-5.175,3.35421
-9.516667,52.016667,30,3228.12,-3.375,2.19594
-9.516667,52.016667,30,3389.53,-3.8625,2.33601
-9.516667,52.016667,30,3550.93,-4.375,3.13494
-9.516667,52.016667,30,3712.34,-3.2375,1.38969
-9.516667,52.016667,30,3873.75,-5.225,3.36102
-9.516667,52.016667,30,4035.15,-3.975,3.1038
-9.516667,52.016667,30,4196.56,-4.75,2.37908
-9.516667,52.016667,30,4357.96,-4.225,2.40461
-9.516667,52.016667,30,4519.37,-4.225,2.40461
-9.516667,52.016667,30,4680.78,-4.35,2.45822
-9.516667,52.016667,30,4842.18,-4.475,2.50357
-9.516667,52.016667,30,5003.59,-3.9,1.64317
-9.516667,52.016667,30,5165,-2.8,2.28973
-9.516667,52.016667,30,5387.91,-4.6125,2.71422
-9.516667,52.016667,30,5610.83,-4.625,4.45926
-9.516667,52.016667,30,5833.75,-5.575,2.89519
-9.516667,52.016667,30,6056.66,-3.9375,4.75453
-9.516667,52.016667,30,6279.58,-6.5875,0.659951
-9.516667,52.016667,30,6502.5,-5.6125,2.91079
-9.516667,52.016667,30,6725.41,-6.575,0.673477
-9.516667,52.016667,30,6948.33,-4.4,4.11617
-9.516667,52.016667,30,7171.25,-5.925,2.49328
-9.516667,52.016667,30,7394.16,-6.7625,0.320435
-9.516667,52.016667,30,7617.08,-6.8125,0.285044
-9.516667,52.016667,30,7840,-6.55,0.83666
-9.516667,52.016667,30,7901.77,-5.55,2.88196
-9.516667,52.016667,30,7963.55,-6.75,0.329502
-9.516667,52.016667,30,8025.32,-6.5625,0.845049
-9.516667,52.016667,30,8087.1,-6.6125,0.859298
-9.516667,52.016667,30,8148.88,-5.7625,2.91103
-9.516667,52.016667,30,8210.65,-6.4125,0.82017
-9.516667,52.016667,30,8272.43,-5.4375,2.87945
-9.516667,52.016667,30,8334.21,-5.7625,2.91103
-9.516667,52.016667,30,8395.98,-5.5875,2.90243
-9.516667,52.016667,30,8457.76,-4.225,3.99276
-9.516667,52.016667,30,8519.53,-6,1.21655
-9.516667,52.016667,30,8581.31,-5.525,2.41291
-9.516667,52.016667,30,8643.09,-6.5125,0.833988
-9.516667,52.016667,30,8704.86,-6.3375,0.785471
-9.516667,52.016667,30,8766.64,-6.75,0.444008
-9.516667,52.016667,30,8828.42,-6.4875,0.809652
-9.516667,52.016667,30,8890.19,-6.5125,0.833988
-9.516667,52.016667,30,8951.97,-6.7,0.320713
-9.516667,52.016667,30,9013.75,-5.9,1.14143
-9.516667,52.016667,30,9075.52,-6.6625,0.346152
-9.516667,52.016667,30,9137.3,-6.4625,0.814051
-9.516667,52.016667,30,9199.07,-6.5125,0.78638
-9.516667,52.016667,30,9260.85,-6.5125,0.78638
-9.516667,52.016667,30,9322.63,-4.325,3.23717
-9.516667,52.016667,30,9384.4,-5.05,2.51907
-9.516667,52.016667,30,9507.96,-5.2625,3.22797
-9.516667,52.016667,30,9569.73,-3.675,2.30326
-9.516667,52.016667,30,9631.51,-3.6625,1.86772
-9.516667,52.016667,30,9693.28,-3.1375,2.95777
-9.516667,52.016667,30,9755.06,-2.8375,2.9447
-9.516667,52.016667,30,9816.84,-2.5375,2.40828
-9.516667,52.016667,30,9878.61,-4.9875,2.34487
-9.516667,52.016667,30,9940.39,-3.275,2.94849
